EmployeeID,Department,MeetingDateTime,MeetingDuration,MeetingType,NumberOfParticipants,MessageCount,AfterHoursMeetings,ProductivityScore,ContextSwitchCount,BurnoutRiskIndex
1654,HR,27-06-2025 13:45,117,01:01,5,92,No,64,10,0.429
1250,Tech,27-01-2025 11:12,86,Team,14,20,Yes,88,18,0.803
1692,Finance,16-04-2025 00:34,101,01:01,12,202,No,73,3,0.363
1032,HR,19-07-2025 14:49,118,01:01,9,130,Yes,71,1,0.757
1238,Finance,14-08-2025 14:19,102,01:01,13,157,Yes,87,1,0.728
1733,Finance,13-02-2025 10:35,78,All-Hands,13,20,Yes,82,11,0.713
1459,Finance,19-06-2025 07:34,72,Client,7,235,Yes,74,16,0.834
1777,Tech,23-01-2025 15:19,105,All-Hands,12,169,No,77,15,0.48
1284,Tech,13-02-2025 15:08,29,Team,4,107,No,52,4,0.155
1104,HR,12-08-2025 23:10,65,All-Hands,8,20,Yes,58,6,0.631
1367,Sales,03-04-2025 15:12,32,Client,5,88,Yes,63,17,0.685
1747,Ops,12-01-2025 22:57,23,01:01,11,52,No,51,19,0.268
1080,Finance,17-03-2025 07:45,106,Client,13,198,No,93,7,0.414
1591,Tech,25-02-2025 06:21,61,01:01,4,205,Yes,66,3,0.664
1677,Tech,10-08-2025 15:48,64,Client,9,131,Yes,51,5,0.662
1875,Tech,14-01-2025 15:15,68,01:01,11,3,No,78,17,0.341
1284,Ops,30-03-2025 10:00,104,Client,13,161,Yes,59,3,0.754
1379,Sales,31-07-2025 01:34,28,Team,9,205,No,72,7,0.222
1718,HR,29-04-2025 10:05,99,Team,14,81,Yes,96,12,0.8
1167,Ops,02-04-2025 21:35,55,All-Hands,14,14,No,94,0,0.143
1947,Finance,23-03-2025 08:21,103,Team,8,8,No,73,0,0.261
1863,HR,13-01-2025 07:21,22,Team,9,62,Yes,60,18,0.66
1824,Sales,25-04-2025 19:56,95,All-Hands,9,162,No,84,0,0.302
1067,Tech,19-03-2025 15:18,19,Client,11,230,Yes,90,6,0.6
1671,Ops,16-03-2025 09:16,87,All-Hands,9,11,No,83,0,0.222
1146,Sales,30-07-2025 07:19,62,Team,8,150,Yes,73,4,0.655
1762,Finance,10-07-2025 17:56,113,Client,13,103,No,71,2,0.344
1919,Finance,10-03-2025 05:22,79,All-Hands,4,100,No,96,13,0.368
1224,Tech,10-08-2025 17:18,17,All-Hands,2,4,Yes,75,13,0.574
1773,HR,26-04-2025 04:53,117,01:01,12,136,Yes,64,14,0.887
1642,Tech,13-08-2025 03:55,104,All-Hands,11,123,Yes,62,18,0.889
1394,Ops,05-01-2025 22:55,77,All-Hands,8,240,No,81,3,0.319
1994,Finance,29-03-2025 23:33,108,01:01,6,150,Yes,88,12,0.85
1698,Finance,30-07-2025 07:04,29,Client,12,28,No,85,12,0.204
1114,Sales,15-01-2025 04:32,46,All-Hands,8,186,Yes,71,1,0.599
1464,HR,12-06-2025 21:36,56,Client,14,61,Yes,55,11,0.674
1519,HR,18-01-2025 01:54,58,Client,5,29,Yes,60,6,0.617
1156,Sales,18-03-2025 08:14,76,Team,2,128,Yes,76,19,0.831
1613,Sales,07-07-2025 06:34,91,All-Hands,10,2,Yes,88,5,0.678
